job,Dataset Path,Mean Population Density (agents/m^2),StdDev Population Density (agents/m^2),Min Population Density (agents/m^2),Max Population Density (agents/m^2),Mean Population Density (agents/m^2)_Scatter,Total Collisions@0.000000 m,Mean Collisions@0.000000 m,Mean Num Agents per Timestep,StdDev Num Agents per Timestep,Mean Agent velocity (m/s),StdDev Agent velocity (m/s),Min Agent velocity (m/s),Max Agent velocity (m/s),Mean Agent Accel (m/s^2),StdDev Agent Accel (m/s^2),Min Agent Accel (m/s^2),Max Agent Accel (m/s^2),Mean Agent Jerk (m/s^3),StdDev Agent Jerk (m/s^3),Min Agent Jerk (m/s^3),Max Agent Jerk (m/s^3),Mean Agent Energy (m^2/s^2),StdDev Agent Energy (m^2/s^2),Min Agent Energy (m^2/s^2),Max Agent Energy (m^2/s^2),Mean Path Efficiency,StdDev Path Efficiency,Mean Time Efficiency,StdDev Time Efficiency,Mean Closest Proximity (m),StdDev Closest Proximity (m),Mean Path Irregularity (degrees/m),StdDev Path Irregularity (degrees/m),Mean Congestion Score,Mean X (m),Mean Y (m),StdDev X (m),StdDev Y (m)
PD=0.1,-1,0.298988692018775,0.007827504469032,0.25,0.5,{0: 0},0,0,10,0,0.951117896598866,0.0151896058774,0.426489731557818,1.00051186899507,0.004884591071393,0.00145253562609,0,0.067185481235822,0.003326535963734,0.000952173538501,2.1984614349013E-17,0.046354722850843,0.707054016691781,0.045716762542157,0.06141592920354,1.00443609022556,0.978213719468327,0.010215547836629,0.951117882814592,0.01518960546931,0.418842658204725,0.068274147414781,899.874548248736,107.298502419154,0,9.747,9.7805,2.18009002107711,2.18844516723632
PD=0.15,-1,0.32279596700338,0.008850973166048,0.25,0.535714285714286,{0: 0},0,0,15,0,0.942770696393654,0.015012191318758,0.654888944517462,1.00201186508832,0.005434220639124,0.002302688509599,0,0.16,0.003607631198589,0.001663694772831,0,0.111803398874991,0.675040779990617,0.04651477322166,0.040697674418605,1.00528846153846,0.975839107315665,0.009100006595985,0.942770682231063,0.015012190627581,0.362773757732374,0.056081270840113,889.117463641478,109.338777036742,0,9.8365,9.8735,2.20037741080934,2.20906603568114
PD=0.2,-1,0.344720639920905,0.010453203936673,0.25,0.625,{0: 0},0,0,20,0,0.915630229356828,0.019899789150958,0.409609570200697,1.00011955950622,0.005531710088754,0.002340045385727,0,0.16,0.003773770493321,0.001539339293274,0,0.111803398874991,0.627813209539765,0.044052390659271,0.03,1.00254545454545,0.960581017647856,0.01380747444443,0.915630216325794,0.019899788265445,0.285873564071235,0.033049607906449,901.932852121806,108.871674256668,0,10.0215,9.9565,2.24231526552356,2.22761021051709
PD=0.25,-1,0.369152957478725,0.010961918717203,0.271739130434783,0.625,{0: 0},0,0,25,0,0.884110357075016,0.023670576325788,0.407940445971182,1.00004799884806,0.006451285162059,0.00181463558869,0,0.111803398874993,0.004269149422957,0.001818228447546,0,0.14907119849998,0.577290929936029,0.041589136710049,0.027873563218391,1.0048322147651,0.939085928722926,0.017902681957787,0.884110344841315,0.023670575309076,0.247652762919858,0.026697755564986,922.073542171344,107.427228662971,0,10.111,10.2345,2.26221451237499,2.28934461145543
PD=0.3,-1,0.397036185173206,0.01267801274592,0.3,0.625,{0: 0},0,0,30,0,0.858459423607531,0.025581733587643,0.445990221346231,1.00086767912203,0.006368379086513,0.002021862119109,0,0.111803398874993,0.003886652980601,0.001609306048073,0,0.14907119849998,0.582825882169596,0.042956452682277,0.036466165413534,1.00382716049383,0.924451426843801,0.018870855179808,0.858459412134201,0.025581732626173,0.222871098331799,0.019844462413653,943.422206147667,106.76672904763,0,10.2035,10.209,2.2825200437236,2.28382453354018
PD=0.35,-1,0.417712764572758,0.011583697006778,0.324074074074074,0.625,{0: 0},0,0,35,0,0.843207493689541,0.02713731510726,0.413751876573707,0.999075167076968,0.006448318069017,0.001799223932285,0,0.111803398874993,0.003984114934342,0.001606161922173,0,0.14907119849998,0.536558106062195,0.042137743357015,0.026502732240437,1.00191256830601,0.913720525143021,0.021339047292378,0.843207482361652,0.027137313998033,0.210605959453909,0.018245006278885,952.703386039745,106.129171357666,0,10.294,10.2855,2.30292802753364,2.30070364236683
PD=0.4,-1,0.444575327169362,0.011838897982929,0.32258064516129,0.666666666666667,{0: 0},0,0,40,0,0.816776371304406,0.030531248978662,0.225521133106473,0.999075167076968,0.006611731510149,0.001810853094858,0,0.111803398874993,0.004172845780811,0.001554426781687,0,0.14907119849998,0.490610962549501,0.040225209158094,0.024371859296482,0.97572864321608,0.894611080295782,0.024628964343779,0.816776360580624,0.030531247854312,0.191131495965013,0.018125878233896,964.428549428869,104.124356949497,0,10.296,10.3745,2.30297904897114,2.32051723760027
PD=0.45,-1,0.47458864976651,0.011986173439872,0.362903225806452,0.75,{0: 0},0,0,45,0,0.80299861025464,0.031119256123805,0.06139279916042,1.0077477638554,0.006945062191832,0.001926981003127,0,0.111803398874993,0.00457273461595,0.002316178645604,0,0.223606797750006,0.473785408655917,0.039443032968481,0.015015479876161,0.980273224043715,0.885420391610899,0.025592254063485,0.802998599362584,0.031119254862509,0.182238972230789,0.017172786881501,986.538440024157,103.753835398276,0,10.341,10.5565,2.31387899424322,2.3637061471342
PD=0.5,-1,0.499104855466218,0.011797375191011,0.378787878787879,0.735294117647059,{0: 0},0,0,50,0,0.773748516563583,0.033391191864962,0,1.0077477638554,0.007872036572173,0.002329849754074,0,0.15640591394623,0.004546749123757,0.002178644026773,0,0.223606797750006,0.448890750351621,0.039338248729095,0,0.989121338912133,0.863446429014659,0.027487498892803,0.77374850619109,0.033391190619744,0.169610499612135,0.016450359061161,982.698683714652,103.237841891938,0.1,10.4355,10.5275,2.33427692230378,2.35433530959377
